z,d_proxy,sigma_d
0.00408436533746,0.00424018253988,0.000189405173223
0.00652701078518,0.00636137606178,0.000206944241695
0.00858006220156,0.00843664051091,0.000220578444377
0.0106652123394,0.0108051242019,0.000297495921462
0.0135504008425,0.0135649303208,0.000302777740795
0.0153463415917,0.0152067986639,0.000333881893231
0.0168830426645,0.0165912481551,0.000337381005757
0.0189131319014,0.0190382961613,0.000358303882966
0.0210180574911,0.0205230163085,0.000373321330884
0.022671996081,0.0224920713521,0.000409166516017
0.0240796167777,0.023543865061,0.000401947863638
0.0253921339408,0.0246370986606,0.000420721023166
0.0278305779681,0.027330304248,0.000428356452537
0.0295851111945,0.0289445197485,0.000481921747638
0.0313706570856,0.0311721932946,0.000499223239367
0.0334621449306,0.0338580365147,0.000512674947912
0.0367202769075,0.0371159693076,0.000586622901649
0.0408695801231,0.0400690976177,0.00057734270174
0.0473063884842,0.0462504494736,0.00067532044809
0.0547290546249,0.0539981982647,0.000808848927358
0.0677050462627,0.0652860129592,0.00100613343317
0.0856288927917,0.084395652394,0.00181386333104
0.118025955344,0.114361131242,0.0016789523478
0.137232018243,0.133894824381,0.00188153087637
0.153815921573,0.143065638542,0.00197997093571
0.172801468605,0.162788246297,0.00225518308382
0.183482652961,0.174322674814,0.00237738625152
0.196320321388,0.186683324223,0.00286611497815
0.207954433747,0.194499239216,0.0029385114861
0.220817393393,0.208289852371,0.00308353865843
0.233814329611,0.216328117399,0.00354869435889
0.24581211084,0.229371933068,0.00342665083631
0.256828689057,0.241094489195,0.00379310840465
0.269745423595,0.248700783256,0.00398990715334
0.286328869793,0.258485902098,0.00408831328942
0.30048906012,0.280837248101,0.00451686505351
0.312970045452,0.296122728024,0.00460155846562
0.32749344391,0.298269197992,0.00419886308549
0.341257305743,0.309244411418,0.00476715892711
0.360818613086,0.327840035972,0.00508449944884
0.381190003538,0.337404148707,0.00509650369083
0.415457084013,0.374173434604,0.00612763957676
0.441081120858,0.385484479747,0.00603465270553
0.479140616872,0.420999573747,0.00667113015672
0.52154995633,0.440382294374,0.00754590835129
0.567611753909,0.475648528504,0.00864494770226
0.611630263115,0.509930880793,0.00963248332086
0.680244927479,0.558285163015,0.0108090635039
0.748487611725,0.594590401369,0.0115524726508
1.05434806335,0.773676907681,0.030836980343
