0.0227230845,0,0,0,0,0,0,0,0,0,0,0
0,0.0634662240,-0.0685337250,0,0,0,0,0,0,0,0,0
0,-0.0685337250,0.3729687560,0,0,0,0,0,0,0,0,0
0,0,0,0.1019757130,-0.0799403059,0,0,0,0,0,0,0
0,0,0,-0.0799403059,0.3544491560,0,0,0,0,0,0,0
0,0,0,0,0,0.0795675235,-0.0380110101,0,0,0,0,0
0,0,0,0,0,-0.0380110101,0.1199356830,0,0,0,0,0
0,0,0,0,0,0,0,0.4765698570,-0.1294057590,0,0,0
0,0,0,0,0,0,0,-0.1294057590,0.1782704980,0,0,0
0,0,0,0,0,0,0,0,0,0.4471349910,0,0
0,0,0,0,0,0,0,0,0,0,0.8897529280,-0.0769477120
0,0,0,0,0,0,0,0,0,0,-0.0769477120,0.0291860447
